Date,Open,High,Low,Close,Adj Close,Volume
2011-05-09 00:00:00-04:00,83.73999786376953,84.97000122070312,82.27999877929688,82.66999816894531,76.83281707763672,1906800
2011-05-16 00:00:00-04:00,82.2699966430664,83.91000366210938,81.86000061035156,83.37999725341797,77.49268341064453,2802100
2011-05-23 00:00:00-04:00,82.06999969482422,83.16999816894531,79.79000091552734,82.98999786376953,77.13021850585938,1980600
2011-05-30 00:00:00-04:00,83.95999908447266,83.95999908447266,79.5999984741211,79.68000030517578,74.05390930175781,1893900
2011-06-06 00:00:00-04:00,79.38999938964844,80.44000244140625,78.44999694824219,78.5999984741211,73.0501708984375,3194600
2011-06-13 00:00:00-04:00,78.91000366210938,80.54000091552734,77.8499984741211,80.0199966430664,74.36991882324219,2999800
2011-06-20 00:00:00-04:00,79.61000061035156,82.4000015258789,79.61000061035156,81.04000091552734,75.31791687011719,2771900
2011-06-27 00:00:00-04:00,80.63999938964844,83.9800033569336,80.19000244140625,83.75,77.83655548095703,3189600
2011-07-04 00:00:00-04:00,83.72000122070312,85.13999938964844,82.87999725341797,83.66999816894531,77.76219177246094,2032400
2011-07-11 00:00:00-04:00,82.58000183105469,83.0199966430664,80.81999969482422,82.16999816894531,76.46875762939453,2128100
2011-07-18 00:00:00-04:00,81.80000305175781,84.5,80.45999908447266,84.45999908447266,78.59986114501953,2177300
2011-07-25 00:00:00-04:00,86.08000183105469,87.95999908447266,80.7699966430664,81.62999725341797,75.9662094116211,3767000
2011-08-01 00:00:00-04:00,82.43000030517578,82.6500015258789,71.93000030517578,73.2300033569336,68.14905548095703,5150300
2011-08-08 00:00:00-04:00,71.4800033569336,72.80999755859375,66.48999786376953,72.62999725341797,67.59069061279297,4263000
2011-08-15 00:00:00-04:00,73.08999633789062,73.95999908447266,65.83999633789062,65.97000122070312,61.392765045166016,3269000
2011-08-22 00:00:00-04:00,67.43000030517578,72.66999816894531,65.62999725341797,72.26000213623047,67.24638366699219,3783200
2011-08-29 00:00:00-04:00,72.3499984741211,77.8499984741211,72.20999908447266,73.45999908447266,68.36307525634766,4190400
2011-09-05 00:00:00-04:00,71.12000274658203,75.16000366210938,70.38999938964844,70.9000015258789,65.98072052001953,2390900
2011-09-12 00:00:00-04:00,70.0199966430664,76.79000091552734,69.29000091552734,75.97000122070312,70.69892120361328,4241400
2011-09-19 00:00:00-04:00,74.45999908447266,75.43000030517578,66.76000213623047,69.94999694824219,65.09661865234375,3026700
2011-09-26 00:00:00-04:00,70.44999694824219,73.77999877929688,68.5199966430664,68.91000366210938,64.1288070678711,4176300
2011-10-03 00:00:00-04:00,68.5,74.23999786376953,64.9000015258789,73.12000274658203,68.04666900634766,4128900
2011-10-10 00:00:00-04:00,74.52999877929688,78.5,74.1500015258789,77.95999908447266,72.66502380371094,2519500
2011-10-17 00:00:00-04:00,77.54000091552734,77.9000015258789,74.9800033569336,77.69000244140625,72.41336822509766,3534400
2011-10-24 00:00:00-04:00,69.80000305175781,83.33000183105469,69.80000305175781,82.88999938964844,77.26017761230469,4192000
2011-10-31 00:00:00-04:00,81.4800033569336,84.48999786376953,77.9800033569336,83.30000305175781,77.64234924316406,2715300
2011-11-07 00:00:00-05:00,82.91999816894531,85.66999816894531,81.05999755859375,85.41000366210938,79.60903930664062,2363400
2011-11-14 00:00:00-05:00,85.01000213623047,87.08000183105469,81.94999694824219,83.27999877929688,77.62373352050781,2777500
2011-11-21 00:00:00-05:00,81.7699966430664,82.3499984741211,78.94999694824219,79.43000030517578,74.03519439697266,1379800
2011-11-28 00:00:00-05:00,81.83999633789062,86.18000030517578,81.61000061035156,84.52999877929688,78.78878784179688,2782500
2011-12-05 00:00:00-05:00,85.5199966430664,85.79000091552734,82.91000366210938,84.56999969482422,78.82610321044922,2112300
2011-12-12 00:00:00-05:00,83.80999755859375,84.11000061035156,81.16000366210938,83.08000183105469,77.43730926513672,3253700
2011-12-19 00:00:00-05:00,83.47000122070312,88.5,82.73999786376953,88.19999694824219,82.20954132080078,2429400
2011-12-26 00:00:00-05:00,88.12000274658203,88.91999816894531,85.95999908447266,86.87000274658203,80.96986389160156,1444900
2012-01-02 00:00:00-05:00,88.69000244140625,90.29000091552734,86.68000030517578,89.83999633789062,83.73816680908203,1846200
2012-01-09 00:00:00-05:00,89.87999725341797,92.83999633789062,88.94999694824219,92.81999969482422,86.65130615234375,1923200
2012-01-16 00:00:00-05:00,93.13999938964844,95.0999984741211,91.88999938964844,94.08000183105469,87.82756042480469,1960000
2012-01-23 00:00:00-05:00,94.33999633789062,96.0,93.43000030517578,94.37000274658203,88.09831237792969,2001100
2012-01-30 00:00:00-05:00,93.58999633789062,96.91000366210938,90.9800033569336,93.86000061035156,87.6222152709961,5065700
